     x     y   occupancy           %    capacity
     0     0           0       0.000          64
     1     0           0       0.000          64
     2     0           4       6.250          64
     3     0           1       1.562          64
     0     1           0       0.000          64
     1     1           1       1.562          64
     2     1           3       4.688          64
     3     1           1       1.562          64
     0     2           0       0.000          64
     1     2           0       0.000          64
     2     2           0       0.000          64
     3     2           0       0.000          64
     0     3           0       0.000          64
     1     3           0       0.000          64
     2     3           0       0.000          64
     3     3           0       0.000          64
     0     4           0       0.000          64
     1     4           0       0.000          64
     2     4           0       0.000          64
     3     4           0       0.000          64
