     x     y   occupancy           %    capacity
     0     0           0       0.000          64
     1     0           1       1.562          64
     2     0           0       0.000          64
     0     1           0       0.000          64
     1     1           2       3.125          64
     2     1           2       3.125          64
     0     2           0       0.000          64
     1     2           0       0.000          64
     2     2           0       0.000          64
     0     3           0       0.000          64
     1     3           0       0.000          64
     2     3           0       0.000          64
     0     4           0       0.000          32
     1     4           0       0.000          32
     2     4           0       0.000          32
     0     5           0       0.000           0
     1     5           0       0.000           0
     2     5           0       0.000           0
